Sample number,depth?cm),?13C/12C,?18O/16O,depth?cm),,AgeD,Donge,hulu,AgeH,,Depth,Cal Age
63,256,0.689,-1.541,256,,243,-8,-6.73,14.107,,,
64,260,0.794,-1.62,260,,247,-7.98,-6.77,14.164,,,
65,264,0.586,-1.671,264,,251,-8.12,-6.71,14.221,,,
66,268,0.456,-2.046,268,,255,-8.05,-6.7,14.277,,,
67,272,0.991,-1.986,272,,259,-7.99,-6.68,14.334,,,
68,276,0.439,-1.998,276,,263,-8.1,-6.71,14.391,,,
69,280,0.959,-1.25,280,,267,-8.03,-6.76,14.448,,,
70,284,0.865,-1.745,284,,271,-7.72,-6.51,14.505,,,
71,288,0.693,-1.692,288,,275,-7.83,-6.27,14.586,,,
72,292,0.511,-1.821,292,,279,-7.63,-5.86,14.667,,,
73,296,0.507,-2.152,296,,283,-7.86,-5.7,14.748,,,
74,300,0.393,-1.251,300,,287,-7.93,-5.5,14.83,,,
75,304,0.495,-1.935,304,,291,-8.04,-5.23,14.911,,,
76,308,0.423,-1.692,308,,295,-7.93,-5.23,14.992,,,
77,312,0.829,-1.957,312,,299,-8.09,-5.08,15.073,,,
78,316,0.744,-2.138,316,,303,-7.89,-4.99,15.111,,,
79,320,0.568,-1.891,320,,307,-8,-5.02,15.148,,,
80,324,0.694,-1.845,324,,311,-7.96,-5.06,15.186,,,
81,328,0.743,-1.714,328,,315,-7.96,-5.19,15.223,,,
82,332,0.381,-1.691,332,,319,-7.57,-5.24,15.261,,,
83,336,0.731,-1.749,336,,323,-7.75,-5.22,15.298,,,
84,340,-0.178,-1.751,340,,327,-7.9,-5.11,15.336,,,
85,344,0.329,-1.681,344,,331,-7.8,-5.11,15.373,,,
86,348,,,348,,335,-7.73,-5.11,15.411,,,
87,352,0.619,-1.583,352,,339,-7.76,-4.91,15.457,,,
88,356,0.326,-1.605,356,,343,-7.75,-4.83,15.504,,,
89,360,0.866,-1.657,360,,347,-7.37,-4.87,15.55,,,
90,364,0.629,-1.323,364,,351,-7.63,-4.62,15.596,,,
91,368,0.762,-2.117,368,,355,-7.24,-4.64,15.642,,,
92,372,0.507,-1.581,372,,359,-7.24,-4.42,15.689,,,
93,376,0.597,-1.982,376,,363,-7.47,-4.2,15.735,,,
94,380,1.569,-1.152,380,,367,-7.69,-4.03,15.781,,,
95,384,0.935,-1.731,384,,371,-7.86,-4.83,15.858,,,
